timestamp,state,height,distance,battery,temp,signal
37395.281,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.39,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.39,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.406,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.406,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.406,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.421,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.421,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.421,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.421,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.421,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.421,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.468,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.468,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.468,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.468,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.468,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.468,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.468,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.468,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.484,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.484,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.5,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.531,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.531,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.531,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.546,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.546,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.562,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.578,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.578,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.593,MissionNav,10.0,25.0,88.0,42.0,95.0
37395.593,MissionNav,10.0,25.0,88.0,42.0,95.0
